,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
0,5697.625795749882,5758.050051420273,6543.075449089981,8729.136454846488,3530.240356539629,4584.365542522619,16673.197049981,3327.676392180739,33852.17783974654,24008.901204068232,6948.352117309254,9091.534397543002
1,5556.164495613214,5540.1547216659765,6358.285984077134,8618.372205756845,3486.29783606655,4612.241214740092,16624.86775647539,3262.9355605607925,32975.554829990026,22961.061158429,6738.842267455434,9006.478716696853
2,5223.028409072428,5114.620359055126,6196.278730217263,8309.873759923317,3453.827707233002,4486.139041347418,16302.400078526089,3061.7035644014018,31573.442336484444,22404.138102791992,6197.909907518603,8820.930776039486
3,4948.674820951474,4756.25554609879,6173.452134391859,7977.79596293424,3298.8785457682047,4289.752093435269,16042.556775272395,2912.847235341094,30355.372242817244,19884.763234547863,5693.517319286405,8692.863817696101
4,4417.344850376937,4534.095451789366,6230.82359587158,7471.157780785547,3217.48375597823,3965.3931478936993,15906.339409788045,2692.363318323336,29719.457319165147,17744.1800998239,5157.866412185311,8548.586826952269
5,4125.19036644114,4495.238161798312,6723.315199025606,7446.392708559419,3105.3193608494566,3758.044828313909,16048.110444605245,2512.960056040988,29850.224287471367,16195.125008024503,4649.365567773909,8556.132384944456
6,4274.4720283902625,4737.121628814469,8188.428443826888,8098.874191203037,3164.354483092363,3732.314289389139,16605.915464913658,2572.3439840738074,29979.53828946307,14151.317447576048,5085.659736154335,8839.210880752144
7,4594.840742990511,4910.204621002885,9012.007481589664,8520.020481761512,3292.085893786967,3714.445673050097,17735.030136847396,2687.8060139454683,30759.781200356854,14208.457824947092,5655.31595806645,9100.442818163403
8,5017.407294771021,5293.514644863065,9501.112854264606,8991.174038284877,3313.4896049635718,3864.030081821119,23187.44611745464,2915.9148319461974,31905.687300403213,14796.921492629546,6445.5995590413795,9425.15882959639
9,5172.4407292016,5386.842131907669,9795.15151421492,9332.496146579491,3300.6903713082093,3864.7864196064334,27405.11934536147,3017.93964335068,32838.975996425754,17516.028284423137,6713.807444488559,9619.22973970029
10,5267.059580869369,5552.495666214625,9876.888855147134,9508.381644826566,3452.3355027329812,3862.2072317579045,25273.939495791907,3095.3379514993894,33452.12778115048,19294.943868517144,6921.887054369918,9696.388165292445
11,5347.746626991944,5477.109116076807,9994.217034645175,9543.696714372152,3387.015045111806,3884.2877131244563,27024.23318183194,3101.1403949154383,34303.56604145542,20836.896421045156,6832.026474917433,9695.694351803439
12,5323.09391034377,5424.654945209314,10081.047282954438,9547.908642576087,3392.040207639409,3924.7621563480043,34696.92153650689,3083.6149258782816,33208.029440312195,21730.171677393468,6812.6576962615145,9719.377013566864
13,5206.914757953886,5346.56549956571,10208.941472482977,9608.502616832136,3359.581970005454,3910.352643456237,31293.08280316913,3083.1410170094823,31960.41569824989,22222.95027654032,6775.886386356675,9776.661702092426
14,5051.252349711907,5171.2387413072565,10069.838720312264,9776.052988873254,3363.314626821075,3888.2070146502538,23876.50868743067,2986.899652028569,31259.601612549515,22307.866997804584,6530.323618381911,9811.370318940884
15,5030.97400005012,5206.211082534419,10083.398178992855,10069.84191714274,3473.305390152098,3965.9036950682435,25564.77395216693,3004.8218017061345,31384.556715597682,20845.056416517233,6840.5534904743345,9973.787634057546
16,5051.405643348844,5568.550849093452,10583.384941741253,10344.592245893778,3633.6198962355124,4064.441569569734,25417.274128654033,3107.301076875211,33339.765052828094,20600.74683339682,7659.497436006459,10035.046258682762
17,5234.327927701541,5809.77846474459,10534.803864865706,10290.242940246577,3837.3245443970486,4068.1393634981087,26171.02165684987,3281.34782026675,34745.267801067544,20366.196631632756,7755.143889285919,9995.58185144299
18,5622.993452869424,5945.223567416272,10455.033561742166,10263.343323349025,3809.888259700556,4168.567203305981,33296.49278363772,3393.3089466464294,34933.66909984947,20285.731651193353,8019.2226410978465,10011.614920931472
19,5742.78312505547,5732.979026903028,10474.025601155014,10058.640814060904,3668.8911868376354,4208.342921000692,36343.6659613732,3314.055771627388,34008.61387960917,21092.418710074286,7720.955905565612,9905.059078652626
20,5752.888556839759,5460.189271026507,10166.147772223638,9875.234589565584,3623.839922585361,4254.49960661275,35952.33225534264,3278.0008757467517,32724.67597968402,20116.194941729947,7393.232337106825,9788.797787733412
