name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,Slack,43775 load shedding
1,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,Slack,43776 coal
10,eGon2035,380.0,AC,18.902232738057837,51.57212911875295,PL,Slack,43787 coal
11,eGon2035,380.0,AC,16.277634034498558,61.35776074926747,SE,Slack,43788 load shedding
2,eGon2035,380.0,AC,8.207947631625533,46.82343065666129,CH,Slack,43777 load shedding
3,eGon2035,380.0,AC,15.238200383770577,49.84255074731976,CZ,Slack,43778 coal
4,eGon2035,380.0,AC,9.917045468507343,51.12782254459413,DE,Slack,0 biomass
41240,eGon2035,110.0,dsm,10.050971033155273,51.18298105964712,DE,Slack,41240 load shedding
48639,eGon2035,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
48645,eGon2035,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48645 CH4
48646,eGon2035,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48646 CH4
48647,eGon2035,1.0,CH4,5.55144817647059,52.374286058823536,NL,Slack,48647 CH4
48648,eGon2035,1.0,CH4,8.605317995983397,60.97891064521747,NO,Slack,48648 CH4
48649,eGon2035,1.0,CH4,18.902232738057837,51.57212911875295,PL,Slack,48649 CH4
48650,eGon2035,1.0,CH4,16.277634034498558,61.35776074926747,SE,Slack,48650 CH4
48652,eGon2035,1.0,CH4,41.0,55.0,RU,Slack,48652 CH4
48653,eGon2035,1.0,H2_saltcavern,10.183299737548198,52.588197647976386,DE,Slack,48653 load shedding
49625,eGon2035,1.0,central_heat,11.57240578601486,48.132056085526024,DE,Slack,49625 central_biomass_CHP_heat
49900,eGon2035,1.0,central_heat,9.66896053697167,48.70282832432833,DE,Slack,49900 load shedding
49968,eGon2035,1.0,central_heat,11.1843538079117,48.8925941640158,DE,Slack,49968 load shedding
49990,eGon2035,1.0,central_heat,8.843102472030221,48.837826733192436,DE,Slack,49990 load shedding
5,eGon2035,380.0,AC,11.008111579217836,55.750166227541925,DK,Slack,43779 coal
50041,eGon2035,1.0,central_heat,9.269669757563,48.941882446914136,DE,Slack,50041 load shedding
50204,eGon2035,1.0,central_heat,11.594778144236566,49.36588734901521,DE,Slack,50204 central_biomass_CHP_heat
50228,eGon2035,1.0,central_heat,7.166203001174726,49.4053979627198,DE,Slack,50228 load shedding
50380,eGon2035,1.0,central_heat,6.719150542515035,49.803915993364186,DE,Slack,50380 load shedding
50382,eGon2035,1.0,central_heat,8.622920418217664,49.847237393218045,DE,Slack,50382 central_biomass_CHP_heat
50397,eGon2035,1.0,central_heat,8.210030100660704,49.90374406689819,DE,Slack,50397 central_biomass_CHP_heat
50595,eGon2035,1.0,central_heat,9.79784484870542,50.31441368076232,DE,Slack,50595 load shedding
50600,eGon2035,1.0,central_heat,10.220483897574942,50.331312266245796,DE,Slack,50600 load shedding
50864,eGon2035,1.0,central_heat,10.697221040999166,50.946700518118064,DE,Slack,50864 load shedding
51081,eGon2035,1.0,central_heat,7.839884425360301,51.233062686286566,DE,Slack,51081 load shedding
51088,eGon2035,1.0,central_heat,7.1756855955281775,51.26383528350481,DE,Slack,51088 central_biomass_CHP_heat
51121,eGon2035,1.0,central_heat,7.29283596012094,51.28612674334649,DE,Slack,51121 central_biomass_CHP_heat
51150,eGon2035,1.0,central_heat,6.5818282258552685,51.34184806195452,DE,Slack,51150 load shedding
51206,eGon2035,1.0,central_heat,6.6562750075649655,51.39497744924855,DE,Slack,51206 load shedding
51419,eGon2035,1.0,central_heat,11.05468578235287,51.89571057031115,DE,Slack,51419 central_biomass_CHP_heat
51428,eGon2035,1.0,central_heat,13.948175561628274,51.860770644142924,DE,Slack,51428 load shedding
51432,eGon2035,1.0,central_heat,8.660607798166346,51.94782979862198,DE,Slack,51432 central_biomass_CHP_heat
51439,eGon2035,1.0,central_heat,7.619048321186317,51.965736072051044,DE,Slack,51439 central_biomass_CHP_heat
51464,eGon2035,1.0,central_heat,11.726105802012999,52.01239619742032,DE,Slack,51464 load shedding
51480,eGon2035,1.0,central_heat,8.532151684975394,52.20076487142297,DE,Slack,51480 load shedding
51490,eGon2035,1.0,central_heat,8.091291924233271,52.102954543942374,DE,Slack,51490 load shedding
51491,eGon2035,1.0,central_heat,8.675581400367685,52.1255711353745,DE,Slack,51491 load shedding
51503,eGon2035,1.0,central_heat,14.002083694000689,52.08914473672471,DE,Slack,51503 load shedding
